indicator_id,indicator_name,type,category,is_active,disaggregation_count,organizations
233,"Number of People who received psychosocial support on GBV [DUPLICATE->180]",number,events,true,0,"BOFWA"
206,"Number of people who report that their rights were violated and who sought redress.",number,events,true,1,"BOFWA | TEBELOPELE"
209,"Number of people who report that their rights were violated and who sought redress. [DUPLICATE->206]",number,events,true,0,"BOFWA"
246,"Number of people who report that their rights were violated and who sought redress. [DUPLICATE->206]",number,events,true,0,"BOFWA"
131,"Number of people who report that their rights were violated and who sought redress. [DUPLICATE->206]",number,other,true,1,"TEBELOPELE"
198,"Number of people who reported collecting condoms for a repeated time.",number,events,true,1,"BOFWA"
201,"Number of people who reported collecting condoms for a repeated time. [DUPLICATE->198]",number,events,true,0,"BOFWA"
242,"Number of people who reported collecting condoms for a repeated time. [DUPLICATE->198]",number,events,true,0,"BOFWA"
291,"Number OF People WHO Reported Collecting Condoms FOR THE Repeated Time BY AGE AND Sex.",multi_int,hiv_prevention,true,1,"TEBELOPELE"
51,"Number of people who tested positive for HIV [DUPLICATE->160]",number,hiv_prevention,true,0,"TEBELOPELE"
22,"Number of PLWH reached with HIV TESTING Messages",number,hiv_prevention,true,0,"TEBELOPELE"
24,"Number of PLWH who tested positive for TB and are on treatment",number,hiv_prevention,true,0,"TEBELOPELE"
23,"Number of PLWHs provided with treatment literacy",number,hiv_prevention,true,1,"TEBELOPELE"
12,"Number of promotions on braille labelled condoms held",number,events,true,1,"BOFWA | TEBELOPELE"
194,"Number of promotions on braille labelled condoms held. [DUPLICATE->12]",number,events,true,0,"BOFWA"
197,"Number of promotions on braille labelled condoms held. [DUPLICATE->12]",number,events,true,0,"BOFWA"
240,"Number of promotions on braille labelled condoms held. [DUPLICATE->12]",number,events,true,1,"BOFWA"
182,"Number of PWDs taking up services.",number,events,true,1,"BOFWA"
185,"Number of PWDs taking up services. [DUPLICATE->182]",number,events,true,0,"BOFWA"
234,"Number of PWDs taking up services. [DUPLICATE->182]",number,events,true,1,"BOFWA"
72,"Number of service providers receiving training",number,events,true,4,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
141,"Number of service providers receiving training (community mobilisers,M&E Officers, program officers,stakeholders)",number,events,true,1,"BOFWA | TEBELOPELE"
142,"Number of service providers receiving training (community mobilisers,M&E Officers, program officers,stakeholders) [DUPLICATE->141]",number,events,true,0,"BOFWA"
213,"Number of service providers receiving training (community mobilisers,M&E Officers, program officers,stakeholders) [DUPLICATE->141]",number,events,true,1,"BOFWA | TEBELOPELE"
149,"Number of service providers’ trained on sign language.",number,events,true,1,"BOFWA"
151,"Number of service providers’ trained on sign language. [DUPLICATE->149]",number,events,true,0,"BOFWA"
217,"Number of service providers’ trained on sign language. [DUPLICATE->149]",number,events,true,1,"BOFWA"
20,"Number of stigma reduction campaigns conducted during the project",number,events,true,8,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
85,"Number of stigma reduction campaigns conducted during the project. [DUPLICATE->20]",number,events,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
137,"Number of stigma reduction campaigns conducted during the project. [DUPLICATE->20]",number,other,true,2,"TEBELOPELE"
251,"Number of sub recipients mentored per month",number,events,true,1,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
21,"Number of sub recipients mentored per month (Number of sub-recipients visited)",number,hiv_prevention,true,0,"TEBELOPELE"
2,"Number of sub recipients mentored per month [DUPLICATE->251]",number,hiv_prevention,true,0,"TEBELOPELE"
143,"Number of sub recipients mentored per month. [DUPLICATE->251]",number,events,true,0,"BOFWA"
144,"Number of sub recipients mentored per month. [DUPLICATE->251]",number,events,true,0,"BOFWA"
214,"Number of sub recipients mentored per month. [DUPLICATE->251]",number,events,true,0,"BOFWA"
73,"Number of sub recipients mentored per month. [DUPLICATE->251]",number,hiv_prevention,true,1,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
28,"Number of sub-recipients submitting quality reports per month",number,hiv_prevention,true,0,"TEBELOPELE"
3,"Number of sub-recipients submitting quality reports per months [DUPLICATE->147]",number,hiv_prevention,true,0,"TEBELOPELE"
147,"Number of sub-recipients submitting quality reports per months.",number,events,true,1,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
148,"Number of sub-recipients submitting quality reports per months. [DUPLICATE->147]",number,events,true,0,"BOFWA"
216,"Number of sub-recipients submitting quality reports per months. [DUPLICATE->147]",number,events,true,0,"BOFWA"
