indicator_code,indicator_name,sex,age_band,value
9,Number  of people who tested positive for HIV.,Male,60-64,0
9,Number  of people who tested positive for HIV.,Male,65+,2
9,Number  of people who tested positive for HIV.,Female,10-14,0
9,Number  of people who tested positive for HIV.,Female,15-19,0
9,Number  of people who tested positive for HIV.,Female,20-24,0
9,Number  of people who tested positive for HIV.,Female,25-29,5
9,Number  of people who tested positive for HIV.,Female,30-34,0
9,Number  of people who tested positive for HIV.,Female,35-39,3
9,Number  of people who tested positive for HIV.,Female,40-44,0
9,Number  of people who tested positive for HIV.,Female,45-49,0
9,Number  of people who tested positive for HIV.,Female,50-54,0
9,Number  of people who tested positive for HIV.,Female,55-59,0
9,Number  of people who tested positive for HIV.,Female,60-64,0
9,Number  of people who tested positive for HIV.,Female,65+,1
10,Number of people linked to care.,Male,10-14,0
10,Number of people linked to care.,Male,15-19,0
10,Number of people linked to care.,Male,20-24,1
10,Number of people linked to care.,Male,25-29,0
10,Number of people linked to care.,Male,30-34,1
10,Number of people linked to care.,Male,35-39,1
10,Number of people linked to care.,Male,40-44,3
10,Number of people linked to care.,Male,45-49,0
10,Number of people linked to care.,Male,50-54,0
10,Number of people linked to care.,Male,55-59,0
10,Number of people linked to care.,Male,60-64,0
10,Number of people linked to care.,Male,65+,0
10,Number of people linked to care.,Female,10-14,0
10,Number of people linked to care.,Female,15-19,0
10,Number of people linked to care.,Female,20-24,0
10,Number of people linked to care.,Female,25-29,4
10,Number of people linked to care.,Female,30-34,0
10,Number of people linked to care.,Female,35-39,2
10,Number of people linked to care.,Female,40-44,0
10,Number of people linked to care.,Female,45-49,0
10,Number of people linked to care.,Female,50-54,0
10,Number of people linked to care.,Female,55-59,0
10,Number of people linked to care.,Female,60-64,0
10,Number of people linked to care.,Female,65+,0
11,Number of people initiated on ART,Male,10-14,0
11,Number of people initiated on ART,Male,15-19,0
11,Number of people initiated on ART,Male,20-24,1
11,Number of people initiated on ART,Male,25-29,0
11,Number of people initiated on ART,Male,30-34,1
11,Number of people initiated on ART,Male,35-39,2
11,Number of people initiated on ART,Male,40-44,3
11,Number of people initiated on ART,Male,45-49,0
11,Number of people initiated on ART,Male,50-54,0
11,Number of people initiated on ART,Male,55-59,0
11,Number of people initiated on ART,Male,60-64,0
11,Number of people initiated on ART,Male,65+,0
11,Number of people initiated on ART,Female,10-14,0
11,Number of people initiated on ART,Female,15-19,0
11,Number of people initiated on ART,Female,20-24,0
11,Number of people initiated on ART,Female,25-29,4
11,Number of people initiated on ART,Female,30-34,0
11,Number of people initiated on ART,Female,35-39,1
11,Number of people initiated on ART,Female,40-44,0
11,Number of people initiated on ART,Female,45-49,0
11,Number of people initiated on ART,Female,50-54,0
11,Number of people initiated on ART,Female,55-59,0
11,Number of people initiated on ART,Female,60-64,0
11,Number of people initiated on ART,Female,65+,0
12,Number of people who were assessed for PrEP eligibility,Male,10-14,0
12,Number of people who were assessed for PrEP eligibility,Male,15-19,27
12,Number of people who were assessed for PrEP eligibility,Male,20-24,81
12,Number of people who were assessed for PrEP eligibility,Male,25-29,122
12,Number of people who were assessed for PrEP eligibility,Male,30-34,143
12,Number of people who were assessed for PrEP eligibility,Male,35-39,136
12,Number of people who were assessed for PrEP eligibility,Male,40-44,112
12,Number of people who were assessed for PrEP eligibility,Male,45-49,54
12,Number of people who were assessed for PrEP eligibility,Male,50-54,28
12,Number of people who were assessed for PrEP eligibility,Male,55-59,9
12,Number of people who were assessed for PrEP eligibility,Male,60-64,10
12,Number of people who were assessed for PrEP eligibility,Male,65+,12
12,Number of people who were assessed for PrEP eligibility,Female,10-14,0
12,Number of people who were assessed for PrEP eligibility,Female,15-19,10
12,Number of people who were assessed for PrEP eligibility,Female,20-24,47
12,Number of people who were assessed for PrEP eligibility,Female,25-29,73
12,Number of people who were assessed for PrEP eligibility,Female,30-34,65
12,Number of people who were assessed for PrEP eligibility,Female,35-39,60
12,Number of people who were assessed for PrEP eligibility,Female,40-44,30
12,Number of people who were assessed for PrEP eligibility,Female,45-49,18
12,Number of people who were assessed for PrEP eligibility,Female,50-54,13
12,Number of people who were assessed for PrEP eligibility,Female,55-59,2
12,Number of people who were assessed for PrEP eligibility,Female,60-64,1
12,Number of people who were assessed for PrEP eligibility,Female,65+,2
13,Number of people referred for PrEP.,Male,10-14,0
13,Number of people referred for PrEP.,Male,15-19,1
13,Number of people referred for PrEP.,Male,20-24,6
13,Number of people referred for PrEP.,Male,25-29,6
13,Number of people referred for PrEP.,Male,30-34,4
13,Number of people referred for PrEP.,Male,35-39,6
13,Number of people referred for PrEP.,Male,40-44,2
13,Number of people referred for PrEP.,Male,45-49,2
13,Number of people referred for PrEP.,Male,50-54,0
13,Number of people referred for PrEP.,Male,55-59,0
13,Number of people referred for PrEP.,Male,60-64,0
13,Number of people referred for PrEP.,Male,65+,2
13,Number of people referred for PrEP.,Female,10-14,0
13,Number of people referred for PrEP.,Female,15-19,1
13,Number of people referred for PrEP.,Female,20-24,4
13,Number of people referred for PrEP.,Female,25-29,1
13,Number of people referred for PrEP.,Female,30-34,4
13,Number of people referred for PrEP.,Female,35-39,4
13,Number of people referred for PrEP.,Female,40-44,1
13,Number of people referred for PrEP.,Female,45-49,1
13,Number of people referred for PrEP.,Female,50-54,0
13,Number of people referred for PrEP.,Female,55-59,0
13,Number of people referred for PrEP.,Female,60-64,1
13,Number of people referred for PrEP.,Female,65+,0
14,Number of people who were assessed for PEP eligibility,Male,10-14,0
14,Number of people who were assessed for PEP eligibility,Male,15-19,20
14,Number of people who were assessed for PEP eligibility,Male,20-24,66
14,Number of people who were assessed for PEP eligibility,Male,25-29,98
14,Number of people who were assessed for PEP eligibility,Male,30-34,119
14,Number of people who were assessed for PEP eligibility,Male,35-39,116
14,Number of people who were assessed for PEP eligibility,Male,40-44,91
14,Number of people who were assessed for PEP eligibility,Male,45-49,44
14,Number of people who were assessed for PEP eligibility,Male,50-54,22
14,Number of people who were assessed for PEP eligibility,Male,55-59,9
14,Number of people who were assessed for PEP eligibility,Male,60-64,8
14,Number of people who were assessed for PEP eligibility,Male,65+,12
14,Number of people who were assessed for PEP eligibility,Female,10-14,0
14,Number of people who were assessed for PEP eligibility,Female,15-19,7
14,Number of people who were assessed for PEP eligibility,Female,20-24,43
14,Number of people who were assessed for PEP eligibility,Female,25-29,55
14,Number of people who were assessed for PEP eligibility,Female,30-34,55
14,Number of people who were assessed for PEP eligibility,Female,35-39,48
14,Number of people who were assessed for PEP eligibility,Female,40-44,23
14,Number of people who were assessed for PEP eligibility,Female,45-49,15
14,Number of people who were assessed for PEP eligibility,Female,50-54,11
14,Number of people who were assessed for PEP eligibility,Female,55-59,2
14,Number of people who were assessed for PEP eligibility,Female,60-64,0
14,Number of people who were assessed for PEP eligibility,Female,65+,1
15,Number of people referred for PEP.,Male,10-14,0
15,Number of people referred for PEP.,Male,15-19,0
15,Number of people referred for PEP.,Male,20-24,1
15,Number of people referred for PEP.,Male,25-29,0
15,Number of people referred for PEP.,Male,30-34,1
15,Number of people referred for PEP.,Male,35-39,2
15,Number of people referred for PEP.,Male,40-44,1
15,Number of people referred for PEP.,Male,45-49,0
15,Number of people referred for PEP.,Male,50-54,0
15,Number of people referred for PEP.,Male,55-59,0
15,Number of people referred for PEP.,Male,60-64,0
15,Number of people referred for PEP.,Male,65+,0
15,Number of people referred for PEP.,Female,10-14,0
15,Number of people referred for PEP.,Female,15-19,1
15,Number of people referred for PEP.,Female,20-24,1
15,Number of people referred for PEP.,Female,25-29,0
15,Number of people referred for PEP.,Female,30-34,0
15,Number of people referred for PEP.,Female,35-39,1
15,Number of people referred for PEP.,Female,40-44,0
15,Number of people referred for PEP.,Female,45-49,0
15,Number of people referred for PEP.,Female,50-54,0
15,Number of people referred for PEP.,Female,55-59,0
15,Number of people referred for PEP.,Female,60-64,0
15,Number of people referred for PEP.,Female,65+,0
16,Number of people elligible for legal aid services.,Male,10-14,0
16,Number of people elligible for legal aid services.,Male,15-19,0
16,Number of people elligible for legal aid services.,Male,20-24,0
16,Number of people elligible for legal aid services.,Male,25-29,1
16,Number of people elligible for legal aid services.,Male,30-34,1
16,Number of people elligible for legal aid services.,Male,35-39,1
16,Number of people elligible for legal aid services.,Male,40-44,0
16,Number of people elligible for legal aid services.,Male,45-49,0
16,Number of people elligible for legal aid services.,Male,50-54,0
16,Number of people elligible for legal aid services.,Male,55-59,0
16,Number of people elligible for legal aid services.,Male,60-64,0
